C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
1000,TOYOTA STOUT- HILUX- MOSQUITO DOBLE Y CAB. SENCILLA,1980,1985,80-85,B,117,61.5,141,56
1000,TOYOTA STOUT- HILUX- MOSQUITO DOBLE Y CAB. SENCILLA,1985,1989,85-89,,118,63.5,141,59
1000,TOYOTA STOUT- HILUX- MOSQUITO DOBLE Y CAB. SENCILLA,1990,1996,90-96,B,115,65,139,62
1000,TOYOTA LAND CRUSIER CAMIONETA TIPO Y.P.F.B.,1984,1996,84-96,B,127,53,140,52
1000,TOYOTA LAND CRUSIER JEEP TIPO Y.P.F.B.,1984,1996,84-96,B,127,60,142,60
1000,TOYOTA LAND CRUSIER VAGONETA 4 PUERTAS/GOMA,1981,1989,81-89,A,132,63.5,155,59
1000,TOYOTA LAND CRUSIER VAGONETA 4 PUERTAS/GOMA,1990,1997,90-97,,124,67,151,63
1000,TOYOTA HIACE MINIBUS C/GOMA,1980,1983,80-83,,127,69,147,62
1000,TOYOTA HIACE MINIBUS C/GOMA,1984,1989,84-89,B,131,82,152,78
1000,TOYOTA HIACE MINIBUS JUMBO LOBO C/GOMA,1989,1994,89-94,A,130,78,151,73
1000,TOYOTA COROLLA DX 4 PUERTAS VAGONETA Y AUTO,1978,1987,78-87,B,106,65,136,64
1000,TOYOTA COROLLA 4 PUERTAS  AUTO Y 2 PUERTAS /PEGADO,1985,1987,85-87,A,110,70,143,68
1000,TOYOTA COROLLA DEPORTIVO SR 2 PUERTAS,1985,1987,85-87,,105,69.5,140,68
1000,TOYOTA COROLLA 4 PUERTAS AUTO,1985,1987,85-87,,105,78,140,74
1000,TOYOTA AUTO 2 PUERTAS FX,1987,1991,87-91,,109,78,145,74
1000,TOYOTA COROLLA 4 PUERTAS VAGONETA,1987,1991,87-91,,109,78,145,74
1000,TOYOTA COROLLA II-CORSA-TERCEL 4 PUERTAS,1986,1988,86-88,A,101,78.5,139,76
1000,TOYOTA CORONA 4 PUERTAS AUTO,1985,1985,85,,111,68,142,
1000,TOYOTA CORONA 4 PUERTAS AUTO VAGONETA,1988,1991,88-91,A,109,77.5,146,78
1000,TOYOTA CORONA LIF BACK 4 PUERTAS ,1978,1981,78-81,,110,64.5,139,60
1000,TOYOTA SPRINTER 4 PUERTAS,1985,1989,85-89,,110,74,143,71
